	ph	exon	ph_chr	ph_start	ph_end	ph_strand	exon_chr	exon_start	exon_end	exon_strand	strand
346	chr12_6781498_6788102_-	chr12_6787827_6787876_-	12	6781498	6788102	-	12	6787827	6787876	-	-1
347	chr12_6781498_6788102_-	chr12_6787829_6787876_-	12	6781498	6788102	-	12	6787829	6787876	-	-1
348	chr12_6781498_6788102_-	chr12_6787831_6787876_-	12	6781498	6788102	-	12	6787831	6787876	-	-1
349	chr12_6781763_6788117_-	chr12_6787827_6787876_-	12	6781763	6788117	-	12	6787827	6787876	-	-1
350	chr12_6781763_6788117_-	chr12_6787829_6787876_-	12	6781763	6788117	-	12	6787829	6787876	-	-1
351	chr12_6781763_6788117_-	chr12_6787831_6787876_-	12	6781763	6788117	-	12	6787831	6787876	-	-1
352	chr12_6781800_6788104_-	chr12_6787827_6787876_-	12	6781800	6788104	-	12	6787827	6787876	-	-1
353	chr12_6781800_6788104_-	chr12_6787829_6787876_-	12	6781800	6788104	-	12	6787829	6787876	-	-1
354	chr12_6781800_6788104_-	chr12_6787831_6787876_-	12	6781800	6788104	-	12	6787831	6787876	-	-1
355	chr12_6782047_6788101_-	chr12_6787827_6787876_-	12	6782047	6788101	-	12	6787827	6787876	-	-1
356	chr12_6782047_6788101_-	chr12_6787829_6787876_-	12	6782047	6788101	-	12	6787829	6787876	-	-1
357	chr12_6782047_6788101_-	chr12_6787831_6787876_-	12	6782047	6788101	-	12	6787831	6787876	-	-1
358	chr12_6782112_6788109_-	chr12_6787827_6787876_-	12	6782112	6788109	-	12	6787827	6787876	-	-1
359	chr12_6782112_6788109_-	chr12_6787829_6787876_-	12	6782112	6788109	-	12	6787829	6787876	-	-1
360	chr12_6782112_6788109_-	chr12_6787831_6787876_-	12	6782112	6788109	-	12	6787831	6787876	-	-1
361	chr12_6786435_6788109_-	chr12_6787827_6787876_-	12	6786435	6788109	-	12	6787827	6787876	-	-1
362	chr12_6786435_6788109_-	chr12_6787829_6787876_-	12	6786435	6788109	-	12	6787829	6787876	-	-1
363	chr12_6786435_6788109_-	chr12_6787831_6787876_-	12	6786435	6788109	-	12	6787831	6787876	-	-1
364	chr12_6787791_6788099_-	chr12_6787827_6787876_-	12	6787791	6788099	-	12	6787827	6787876	-	-1
365	chr12_6787791_6788099_-	chr12_6787829_6787876_-	12	6787791	6788099	-	12	6787829	6787876	-	-1
366	chr12_6787791_6788099_-	chr12_6787831_6787876_-	12	6787791	6788099	-	12	6787831	6787876	-	-1
367	chr12_27113353_27113589_+	chr12_27113448_27113561_+	12	27113353	27113589	+	12	27113448	27113561	+	1
369	chr12_50479122_50483675_+	chr12_50481146_50481268_+	12	50479122	50483675	+	12	50481146	50481268	+	1
370	chr12_50479126_50483037_+	chr12_50481146_50481268_+	12	50479126	50483037	+	12	50481146	50481268	+	1
371	chr12_50479322_50484378_+	chr12_50481146_50481268_+	12	50479322	50484378	+	12	50481146	50481268	+	1
372	chr12_57924065_57932326_-	chr12_57932266_57932307_-	12	57924065	57932326	-	12	57932266	57932307	-	-1
373	chr12_57924065_57932326_-	chr12_57932302_57932307_-	12	57924065	57932326	-	12	57932302	57932307	-	-1
374	chr12_57924147_57932314_-	chr12_57932266_57932307_-	12	57924147	57932314	-	12	57932266	57932307	-	-1
375	chr12_57924147_57932314_-	chr12_57932302_57932307_-	12	57924147	57932314	-	12	57932302	57932307	-	-1
376	chr12_57924183_57932332_-	chr12_57932266_57932307_-	12	57924183	57932332	-	12	57932266	57932307	-	-1
377	chr12_57924183_57932332_-	chr12_57932302_57932307_-	12	57924183	57932332	-	12	57932302	57932307	-	-1
378	chr12_57929871_57932335_-	chr12_57932266_57932307_-	12	57929871	57932335	-	12	57932266	57932307	-	-1
380	chr12_57929871_57932335_-	chr12_57932302_57932307_-	12	57929871	57932335	-	12	57932302	57932307	-	-1
382	chr12_57929871_57932335_-	chr12_57932302_57932335_-	12	57929871	57932335	-	12	57932302	57932335	-	-1
384	chr12_57929875_57932364_-	chr12_57932266_57932307_-	12	57929875	57932364	-	12	57932266	57932307	-	-1
385	chr12_57929875_57932364_-	chr12_57932302_57932335_-	12	57929875	57932364	-	12	57932302	57932335	-	-1
386	chr12_57929875_57932364_-	chr12_57932302_57932307_-	12	57929875	57932364	-	12	57932302	57932307	-	-1
390	chr12_57929973_57932343_-	chr12_57932266_57932307_-	12	57929973	57932343	-	12	57932266	57932307	-	-1
393	chr12_57929973_57932343_-	chr12_57932302_57932307_-	12	57929973	57932343	-	12	57932302	57932307	-	-1
396	chr12_57929973_57932343_-	chr12_57932302_57932335_-	12	57929973	57932343	-	12	57932302	57932335	-	-1
399	chr12_57931499_57932321_-	chr12_57932266_57932307_-	12	57931499	57932321	-	12	57932266	57932307	-	-1
400	chr12_57931499_57932321_-	chr12_57932302_57932307_-	12	57931499	57932321	-	12	57932302	57932307	-	-1
401	chr12_110937289_110939876_-	chr12_110937340_110937351_-	12	110937289	110939876	-	12	110937340	110937351	-	-1
402	chr12_110937296_110937511_-	chr12_110937340_110937351_-	12	110937296	110937511	-	12	110937340	110937351	-	-1
403	chr12_110937318_110939872_-	chr12_110937340_110937351_-	12	110937318	110939872	-	12	110937340	110937351	-	-1
404	chr12_122237558_122241152_-	chr12_122240537_122240712_-	12	122237558	122241152	-	12	122240537	122240712	-	-1
405	chr12_122237558_122241152_-	chr12_122240537_122240690_-	12	122237558	122241152	-	12	122240537	122240690	-	-1
406	chr12_122237559_122240837_-	chr12_122240537_122240712_-	12	122237559	122240837	-	12	122240537	122240712	-	-1
407	chr12_122237559_122240837_-	chr12_122240537_122240690_-	12	122237559	122240837	-	12	122240537	122240690	-	-1
408	chr12_122237560_122241098_-	chr12_122240537_122240712_-	12	122237560	122241098	-	12	122240537	122240712	-	-1
409	chr12_122237560_122241098_-	chr12_122240537_122240690_-	12	122237560	122241098	-	12	122240537	122240690	-	-1
410	chr12_122239697_122240761_-	chr12_122240537_122240690_-	12	122239697	122240761	-	12	122240537	122240690	-	-1
411	chr12_122239697_122240761_-	chr12_122240537_122240712_-	12	122239697	122240761	-	12	122240537	122240712	-	-1
412	chr12_122995649_123005374_-	chr12_123005051_123005128_-	12	122995649	123005374	-	12	123005051	123005128	-	-1
413	chr14_21485116_21494594_-	chr14_21491023_21491064_-	14	21485116	21494594	-	14	21491023	21491064	-	-1
414	chr14_21485116_21494594_-	chr14_21491023_21491311_-	14	21485116	21494594	-	14	21491023	21491311	-	-1
415	chr14_21485133_21494040_-	chr14_21491023_21491064_-	14	21485133	21494040	-	14	21491023	21491064	-	-1
416	chr14_21485133_21494040_-	chr14_21491023_21491311_-	14	21485133	21494040	-	14	21491023	21491311	-	-1
417	chr14_21485133_21494151_-	chr14_21491023_21491064_-	14	21485133	21494151	-	14	21491023	21491064	-	-1
418	chr14_21485133_21494151_-	chr14_21491023_21491311_-	14	21485133	21494151	-	14	21491023	21491311	-	-1
419	chr14_21730795_21732005_-	chr14_21731470_21731495_-	14	21730795	21732005	-	14	21731470	21731495	-	-1
420	chr14_21730795_21732005_-	chr14_21731470_21731741_-	14	21730795	21732005	-	14	21731470	21731741	-	-1
421	chr14_21730795_21732005_-	chr14_21731470_21731988_-	14	21730795	21732005	-	14	21731470	21731988	-	-1
422	chr14_21731224_21737205_-	chr14_21731470_21731495_-	14	21731224	21737205	-	14	21731470	21731495	-	-1
424	chr14_21731224_21737205_-	chr14_21731470_21731741_-	14	21731224	21737205	-	14	21731470	21731741	-	-1
426	chr14_21731224_21737205_-	chr14_21731470_21731988_-	14	21731224	21737205	-	14	21731470	21731988	-	-1
428	chr14_21731236_21731997_-	chr14_21731470_21731495_-	14	21731236	21731997	-	14	21731470	21731495	-	-1
429	chr14_21731236_21731997_-	chr14_21731470_21731741_-	14	21731236	21731997	-	14	21731470	21731741	-	-1
430	chr14_21731236_21731997_-	chr14_21731470_21731988_-	14	21731236	21731997	-	14	21731470	21731988	-	-1
431	chr14_21731419_21736804_-	chr14_21731470_21731495_-	14	21731419	21736804	-	14	21731470	21731495	-	-1
432	chr14_21731419_21736804_-	chr14_21731470_21731741_-	14	21731419	21736804	-	14	21731470	21731741	-	-1
433	chr14_21731419_21736804_-	chr14_21731470_21731988_-	14	21731419	21736804	-	14	21731470	21731988	-	-1
434	chr14_23528118_23538069_-	chr14_23536523_23537880_-	14	23528118	23538069	-	14	23536523	23537880	-	-1
435	chr14_23528293_23538237_-	chr14_23536523_23537880_-	14	23528293	23538237	-	14	23536523	23537880	-	-1
436	chr14_23530826_23540079_-	chr14_23536523_23537880_-	14	23530826	23540079	-	14	23536523	23537880	-	-1
438	chr14_23533698_23538833_-	chr14_23536523_23537880_-	14	23533698	23538833	-	14	23536523	23537880	-	-1
439	chr14_23535227_23538694_-	chr14_23536523_23537880_-	14	23535227	23538694	-	14	23536523	23537880	-	-1
440	chr14_23776947_23781722_+	chr14_23778025_23778039_+	14	23776947	23781722	+	14	23778025	23778039	+	1
441	chr14_23776947_23781722_+	chr14_23778025_23778141_+	14	23776947	23781722	+	14	23778025	23778141	+	1
442	chr14_23776947_23781722_+	chr14_23778025_23780968_+	14	23776947	23781722	+	14	23778025	23780968	+	1
443	chr14_23776952_23780631_+	chr14_23778025_23778039_+	14	23776952	23780631	+	14	23778025	23778039	+	1
444	chr14_23776952_23780631_+	chr14_23778025_23778141_+	14	23776952	23780631	+	14	23778025	23778141	+	1
445	chr14_23776953_23778436_+	chr14_23778025_23778039_+	14	23776953	23778436	+	14	23778025	23778039	+	1
446	chr14_23776953_23778436_+	chr14_23778025_23778141_+	14	23776953	23778436	+	14	23778025	23778141	+	1
447	chr14_23776967_23779311_+	chr14_23778025_23778039_+	14	23776967	23779311	+	14	23778025	23778039	+	1
448	chr14_23776967_23779311_+	chr14_23778025_23778141_+	14	23776967	23779311	+	14	23778025	23778141	+	1
449	chr14_23778022_23778682_+	chr14_23778025_23778039_+	14	23778022	23778682	+	14	23778025	23778039	+	1
450	chr14_23778022_23778682_+	chr14_23778025_23778141_+	14	23778022	23778682	+	14	23778025	23778141	+	1
451	chr14_36009228_36019201_-	chr14_36017714_36017744_-	14	36009228	36019201	-	14	36017714	36017744	-	-1
452	chr14_36009228_36019201_-	chr14_36017739_36017744_-	14	36009228	36019201	-	14	36017739	36017744	-	-1
453	chr14_36011025_36019283_-	chr14_36017714_36017744_-	14	36011025	36019283	-	14	36017714	36017744	-	-1
454	chr14_36011025_36019283_-	chr14_36017739_36017744_-	14	36011025	36019283	-	14	36017739	36017744	-	-1
455	chr14_36011042_36020402_-	chr14_36017714_36017744_-	14	36011042	36020402	-	14	36017714	36017744	-	-1
456	chr14_36011042_36020402_-	chr14_36017739_36017744_-	14	36011042	36020402	-	14	36017739	36017744	-	-1
457	chr14_36011097_36020538_-	chr14_36017714_36017744_-	14	36011097	36020538	-	14	36017714	36017744	-	-1
458	chr14_36011097_36020538_-	chr14_36017739_36017744_-	14	36011097	36020538	-	14	36017739	36017744	-	-1
461	chr14_36017451_36017873_-	chr14_36017714_36017744_-	14	36017451	36017873	-	14	36017714	36017744	-	-1
462	chr14_36017451_36017873_-	chr14_36017739_36017744_-	14	36017451	36017873	-	14	36017739	36017744	-	-1
463	chr14_36017459_36019478_-	chr14_36017714_36017744_-	14	36017459	36019478	-	14	36017714	36017744	-	-1
465	chr14_36017459_36019478_-	chr14_36017739_36017744_-	14	36017459	36019478	-	14	36017739	36017744	-	-1
467	chr14_36017472_36020368_-	chr14_36017714_36017744_-	14	36017472	36020368	-	14	36017714	36017744	-	-1
468	chr14_36017472_36020368_-	chr14_36017739_36017744_-	14	36017472	36020368	-	14	36017739	36017744	-	-1
469	chr14_36017472_36020318_-	chr14_36017714_36017744_-	14	36017472	36020318	-	14	36017714	36017744	-	-1
470	chr14_36017472_36020318_-	chr14_36017739_36017744_-	14	36017472	36020318	-	14	36017739	36017744	-	-1
471	chr14_36017496_36020463_-	chr14_36017714_36017744_-	14	36017496	36020463	-	14	36017714	36017744	-	-1
472	chr14_36017496_36020463_-	chr14_36017739_36017744_-	14	36017496	36020463	-	14	36017739	36017744	-	-1
475	chr14_36017531_36021959_-	chr14_36017714_36017744_-	14	36017531	36021959	-	14	36017714	36017744	-	-1
476	chr14_36017531_36021959_-	chr14_36017739_36017744_-	14	36017531	36021959	-	14	36017739	36017744	-	-1
479	chr14_36017546_36019174_-	chr14_36017714_36017744_-	14	36017546	36019174	-	14	36017714	36017744	-	-1
481	chr14_36017546_36019174_-	chr14_36017739_36017744_-	14	36017546	36019174	-	14	36017739	36017744	-	-1
485	chr14_36017643_36020308_-	chr14_36017714_36017744_-	14	36017643	36020308	-	14	36017714	36017744	-	-1
486	chr14_36017643_36020308_-	chr14_36017739_36017744_-	14	36017643	36020308	-	14	36017739	36017744	-	-1
489	chr14_36017645_36019296_-	chr14_36017714_36017744_-	14	36017645	36019296	-	14	36017714	36017744	-	-1
490	chr14_36017645_36019296_-	chr14_36017739_36017744_-	14	36017645	36019296	-	14	36017739	36017744	-	-1
491	chr14_36017665_36027937_-	chr14_36017714_36017744_-	14	36017665	36027937	-	14	36017714	36017744	-	-1
492	chr14_36017665_36027937_-	chr14_36017739_36017744_-	14	36017665	36027937	-	14	36017739	36017744	-	-1
493	chr14_36017670_36028015_-	chr14_36017714_36017744_-	14	36017670	36028015	-	14	36017714	36017744	-	-1
494	chr14_36017670_36028015_-	chr14_36017739_36017744_-	14	36017670	36028015	-	14	36017739	36017744	-	-1
495	chr14_53510777_53519341_-	chr14_53512745_53513667_-	14	53510777	53519341	-	14	53512745	53513667	-	-1
496	chr14_53511360_53519343_-	chr14_53512745_53513667_-	14	53511360	53519343	-	14	53512745	53513667	-	-1
497	chr14_56130581_56130858_+	chr14_56130673_56130759_+	14	56130581	56130858	+	14	56130673	56130759	+	1
498	chr14_65559251_65568299_-	chr14_65568264_65568290_-	14	65559251	65568299	-	14	65568264	65568290	-	-1
499	chr14_65560425_65568308_-	chr14_65568264_65568290_-	14	65560425	65568308	-	14	65568264	65568290	-	-1
500	chr14_65560670_65569237_-	chr14_65568264_65568290_-	14	65560670	65569237	-	14	65568264	65568290	-	-1
501	chr14_65560670_65569237_-	chr14_65568264_65568403_-	14	65560670	65569237	-	14	65568264	65568403	-	-1
502	chr14_65560700_65568829_-	chr14_65568264_65568290_-	14	65560700	65568829	-	14	65568264	65568290	-	-1
503	chr14_65560700_65568829_-	chr14_65568264_65568403_-	14	65560700	65568829	-	14	65568264	65568403	-	-1
504	chr14_65562471_65568311_-	chr14_65568264_65568290_-	14	65562471	65568311	-	14	65568264	65568290	-	-1
505	chr14_65568188_65568313_-	chr14_65568264_65568290_-	14	65568188	65568313	-	14	65568264	65568290	-	-1
506	chr14_65568240_65568834_-	chr14_65568264_65568290_-	14	65568240	65568834	-	14	65568264	65568290	-	-1
507	chr14_65568240_65568834_-	chr14_65568264_65568403_-	14	65568240	65568834	-	14	65568264	65568403	-	-1
508	chr14_73782438_73783322_-	chr14_73783098_73783130_-	14	73782438	73783322	-	14	73783098	73783130	-	-1
509	chr15_57544524_57546367_+	chr15_57544619_57544690_+	15	57544524	57546367	+	15	57544619	57544690	+	1
510	chr15_57544539_57551932_+	chr15_57544619_57544690_+	15	57544539	57551932	+	15	57544619	57544690	+	1
511	chr15_57544558_57553667_+	chr15_57544619_57544690_+	15	57544558	57553667	+	15	57544619	57544690	+	1
513	chr15_57544564_57546526_+	chr15_57544619_57544690_+	15	57544564	57546526	+	15	57544619	57544690	+	1
514	chr15_57544587_57552091_+	chr15_57544619_57544690_+	15	57544587	57552091	+	15	57544619	57544690	+	1
515	chr15_63353633_63363519_+	chr15_63353912_63353987_+	15	63353633	63363519	+	15	63353912	63353987	+	1
516	chr15_63353633_63363519_+	chr15_63356263_63356341_+	15	63353633	63363519	+	15	63356263	63356341	+	1
517	chr15_63353986_63362035_+	chr15_63356263_63356341_+	15	63353986	63362035	+	15	63356263	63356341	+	1
518	chr16_15017546_15027054_+	chr16_15019861_15020140_+	16	15017546	15027054	+	16	15019861	15020140	+	1
519	chr16_15017546_15027054_+	chr16_15020234_15020447_+	16	15017546	15027054	+	16	15020234	15020447	+	1
520	chr16_15018356_15027061_+	chr16_15019861_15020140_+	16	15018356	15027061	+	16	15019861	15020140	+	1
521	chr16_15018356_15027061_+	chr16_15020234_15020447_+	16	15018356	15027061	+	16	15020234	15020447	+	1
522	chr16_15019960_15026713_+	chr16_15020234_15020447_+	16	15019960	15026713	+	16	15020234	15020447	+	1
523	chr16_15020017_15029109_+	chr16_15020514_15020673_+	16	15020017	15029109	+	16	15020514	15020673	+	1
524	chr16_15020017_15029109_+	chr16_15021064_15021216_+	16	15020017	15029109	+	16	15021064	15021216	+	1
525	chr16_15020017_15029109_+	chr16_15021140_15021216_+	16	15020017	15029109	+	16	15021140	15021216	+	1
526	chr16_15020017_15029109_+	chr16_15022238_15022382_+	16	15020017	15029109	+	16	15022238	15022382	+	1
527	chr16_15020017_15029109_+	chr16_15023108_15023278_+	16	15020017	15029109	+	16	15023108	15023278	+	1
528	chr16_15020017_15029109_+	chr16_15023108_15023888_+	16	15020017	15029109	+	16	15023108	15023888	+	1
529	chr16_15020017_15029109_+	chr16_15024023_15024179_+	16	15020017	15029109	+	16	15024023	15024179	+	1
530	chr16_15020017_15029109_+	chr16_15024360_15024612_+	16	15020017	15029109	+	16	15024360	15024612	+	1
531	chr16_15020017_15029109_+	chr16_15024737_15024932_+	16	15020017	15029109	+	16	15024737	15024932	+	1
532	chr16_15020017_15029109_+	chr16_15026428_15026598_+	16	15020017	15029109	+	16	15026428	15026598	+	1
533	chr16_15020017_15029109_+	chr16_15026923_15027133_+	16	15020017	15029109	+	16	15026923	15027133	+	1
534	chr16_15020017_15029109_+	chr16_15027224_15027350_+	16	15020017	15029109	+	16	15027224	15027350	+	1
535	chr16_15020017_15029109_+	chr16_15020234_15020447_+	16	15020017	15029109	+	16	15020234	15020447	+	1
537	chr16_15020019_15024409_+	chr16_15020514_15020673_+	16	15020019	15024409	+	16	15020514	15020673	+	1
538	chr16_15020019_15024409_+	chr16_15021064_15021216_+	16	15020019	15024409	+	16	15021064	15021216	+	1
539	chr16_15020019_15024409_+	chr16_15021140_15021216_+	16	15020019	15024409	+	16	15021140	15021216	+	1
540	chr16_15020019_15024409_+	chr16_15022238_15022382_+	16	15020019	15024409	+	16	15022238	15022382	+	1
541	chr16_15020019_15024409_+	chr16_15023108_15023278_+	16	15020019	15024409	+	16	15023108	15023278	+	1
542	chr16_15020019_15024409_+	chr16_15023108_15023888_+	16	15020019	15024409	+	16	15023108	15023888	+	1
543	chr16_15020019_15024409_+	chr16_15024023_15024179_+	16	15020019	15024409	+	16	15024023	15024179	+	1
544	chr16_15020019_15024409_+	chr16_15020234_15020447_+	16	15020019	15024409	+	16	15020234	15020447	+	1
546	chr16_15020602_15026524_+	chr16_15021064_15021216_+	16	15020602	15026524	+	16	15021064	15021216	+	1
547	chr16_15020602_15026524_+	chr16_15021140_15021216_+	16	15020602	15026524	+	16	15021140	15021216	+	1
548	chr16_15020602_15026524_+	chr16_15022238_15022382_+	16	15020602	15026524	+	16	15022238	15022382	+	1
549	chr16_15020602_15026524_+	chr16_15023108_15023278_+	16	15020602	15026524	+	16	15023108	15023278	+	1
550	chr16_15020602_15026524_+	chr16_15023108_15023888_+	16	15020602	15026524	+	16	15023108	15023888	+	1
551	chr16_15020602_15026524_+	chr16_15024023_15024179_+	16	15020602	15026524	+	16	15024023	15024179	+	1
552	chr16_15020602_15026524_+	chr16_15024360_15024612_+	16	15020602	15026524	+	16	15024360	15024612	+	1
553	chr16_15020602_15026524_+	chr16_15024737_15024932_+	16	15020602	15026524	+	16	15024737	15024932	+	1
554	chr16_15021178_15024431_+	chr16_15022238_15022382_+	16	15021178	15024431	+	16	15022238	15022382	+	1
555	chr16_15021178_15024431_+	chr16_15023108_15023278_+	16	15021178	15024431	+	16	15023108	15023278	+	1
556	chr16_15021178_15024431_+	chr16_15023108_15023888_+	16	15021178	15024431	+	16	15023108	15023888	+	1
557	chr16_15021178_15024431_+	chr16_15024023_15024179_+	16	15021178	15024431	+	16	15024023	15024179	+	1
558	chr16_15023182_15024390_+	chr16_15024023_15024179_+	16	15023182	15024390	+	16	15024023	15024179	+	1
559	chr16_15024397_15029025_+	chr16_15024737_15024932_+	16	15024397	15029025	+	16	15024737	15024932	+	1
560	chr16_15024397_15029025_+	chr16_15026428_15026598_+	16	15024397	15029025	+	16	15026428	15026598	+	1
561	chr16_15024397_15029025_+	chr16_15026923_15027133_+	16	15024397	15029025	+	16	15026923	15027133	+	1
562	chr16_15024397_15029025_+	chr16_15027224_15027350_+	16	15024397	15029025	+	16	15027224	15027350	+	1
563	chr16_15024398_15026822_+	chr16_15024737_15024932_+	16	15024398	15026822	+	16	15024737	15024932	+	1
564	chr16_15024398_15026822_+	chr16_15026428_15026598_+	16	15024398	15026822	+	16	15026428	15026598	+	1
565	chr16_15024420_15026949_+	chr16_15024737_15024932_+	16	15024420	15026949	+	16	15024737	15024932	+	1
566	chr16_15024420_15026949_+	chr16_15026428_15026598_+	16	15024420	15026949	+	16	15026428	15026598	+	1
567	chr16_15024421_15026537_+	chr16_15024737_15024932_+	16	15024421	15026537	+	16	15024737	15024932	+	1
569	chr16_15024782_15032075_+	chr16_15026428_15026598_+	16	15024782	15032075	+	16	15026428	15026598	+	1
570	chr16_15024782_15032075_+	chr16_15026685_15026828_+	16	15024782	15032075	+	16	15026685	15026828	+	1
571	chr16_15024782_15032075_+	chr16_15026923_15027133_+	16	15024782	15032075	+	16	15026923	15027133	+	1
572	chr16_15024782_15032075_+	chr16_15027224_15027350_+	16	15024782	15032075	+	16	15027224	15027350	+	1
573	chr16_15024782_15032075_+	chr16_15029017_15029133_+	16	15024782	15032075	+	16	15029017	15029133	+	1
574	chr16_15026522_15027345_+	chr16_15026923_15027133_+	16	15026522	15027345	+	16	15026923	15027133	+	1
575	chr16_15026525_15030574_+	chr16_15026923_15027133_+	16	15026525	15030574	+	16	15026923	15027133	+	1
576	chr16_15026525_15030574_+	chr16_15027224_15027350_+	16	15026525	15030574	+	16	15027224	15027350	+	1
577	chr16_15026525_15030574_+	chr16_15029017_15029133_+	16	15026525	15030574	+	16	15029017	15029133	+	1
578	chr16_15026527_15035563_+	chr16_15026923_15027133_+	16	15026527	15035563	+	16	15026923	15027133	+	1
579	chr16_15026527_15035563_+	chr16_15027224_15027350_+	16	15026527	15035563	+	16	15027224	15027350	+	1
580	chr16_15026527_15035563_+	chr16_15029017_15029133_+	16	15026527	15035563	+	16	15029017	15029133	+	1
581	chr16_15026700_15029083_+	chr16_15026923_15027133_+	16	15026700	15029083	+	16	15026923	15027133	+	1
582	chr16_15026700_15029083_+	chr16_15027224_15027350_+	16	15026700	15029083	+	16	15027224	15027350	+	1
583	chr16_15027048_15032057_+	chr16_15027224_15027350_+	16	15027048	15032057	+	16	15027224	15027350	+	1
584	chr16_15027048_15032057_+	chr16_15029017_15029133_+	16	15027048	15032057	+	16	15029017	15029133	+	1
585	chr16_15027048_15032057_+	chr16_15031271_15031507_+	16	15027048	15032057	+	16	15031271	15031507	+	1
586	chr16_24551224_24560821_+	chr16_24551841_24552113_+	16	24551224	24560821	+	16	24551841	24552113	+	1
587	chr16_24551224_24560821_+	chr16_24551904_24552113_+	16	24551224	24560821	+	16	24551904	24552113	+	1
588	chr16_24551224_24560821_+	chr16_24551516_24552113_+	16	24551224	24560821	+	16	24551516	24552113	+	1
589	chr16_24551224_24560821_+	chr16_24551817_24552113_+	16	24551224	24560821	+	16	24551817	24552113	+	1
590	chr16_24551391_24560853_+	chr16_24551841_24552113_+	16	24551391	24560853	+	16	24551841	24552113	+	1
591	chr16_24551391_24560853_+	chr16_24551904_24552113_+	16	24551391	24560853	+	16	24551904	24552113	+	1
592	chr16_24551391_24560853_+	chr16_24551516_24552113_+	16	24551391	24560853	+	16	24551516	24552113	+	1
593	chr16_24551391_24560853_+	chr16_24551817_24552113_+	16	24551391	24560853	+	16	24551817	24552113	+	1
594	chr16_24551626_24560498_+	chr16_24551841_24552113_+	16	24551626	24560498	+	16	24551841	24552113	+	1
595	chr16_24551626_24560498_+	chr16_24551904_24552113_+	16	24551626	24560498	+	16	24551904	24552113	+	1
596	chr16_24551626_24560498_+	chr16_24551817_24552113_+	16	24551626	24560498	+	16	24551817	24552113	+	1
597	chr16_28841936_28848042_+	chr16_28847767_28847806_+	16	28841936	28848042	+	16	28847767	28847806	+	1
598	chr16_28841936_28848042_+	chr16_28847770_28847806_+	16	28841936	28848042	+	16	28847770	28847806	+	1
599	chr16_28843505_28847858_+	chr16_28843817_28843888_+	16	28843505	28847858	+	16	28843817	28843888	+	1
600	chr16_28843505_28847607_+	chr16_28843817_28843888_+	16	28843505	28847607	+	16	28843817	28843888	+	1
601	chr16_28844827_28848180_+	chr16_28847767_28847806_+	16	28844827	28848180	+	16	28847767	28847806	+	1
602	chr16_28844827_28848180_+	chr16_28847770_28847806_+	16	28844827	28848180	+	16	28847770	28847806	+	1
603	chr16_28847578_28848039_+	chr16_28847767_28847806_+	16	28847578	28848039	+	16	28847767	28847806	+	1
604	chr16_28847578_28848039_+	chr16_28847770_28847806_+	16	28847578	28848039	+	16	28847770	28847806	+	1
605	chr16_28847587_28848127_+	chr16_28847767_28847806_+	16	28847587	28848127	+	16	28847767	28847806	+	1
606	chr16_28847587_28848127_+	chr16_28847770_28847806_+	16	28847587	28848127	+	16	28847770	28847806	+	1
607	chr16_28914996_28915735_+	chr16_28915021_28915062_+	16	28914996	28915735	+	16	28915021	28915062	+	1
608	chr16_28914996_28915735_+	chr16_28915021_28915147_+	16	28914996	28915735	+	16	28915021	28915147	+	1
609	chr16_30103759_30104123_-	chr16_30103898_30104120_-	16	30103759	30104123	-	16	30103898	30104120	-	-1
610	chr16_30103759_30104123_-	chr16_30103958_30104120_-	16	30103759	30104123	-	16	30103958	30104120	-	-1
611	chr16_30103759_30104123_-	chr16_30104082_30104120_-	16	30103759	30104123	-	16	30104082	30104120	-	-1
612	chr16_30103759_30104123_-	chr16_30104099_30104120_-	16	30103759	30104123	-	16	30104099	30104120	-	-1
617	chr16_70584474_70588262_+	chr16_70584553_70584581_+	16	70584474	70588262	+	16	70584553	70584581	+	1
618	chr16_70713140_70713307_-	chr16_70713218_70713226_-	16	70713140	70713307	-	16	70713218	70713226	-	-1
619	chr16_70713140_70715583_-	chr16_70713218_70713226_-	16	70713140	70715583	-	16	70713218	70713226	-	-1
620	chr17_25633998_25635995_+	chr17_25634770_25634896_+	17	25633998	25635995	+	17	25634770	25634896	+	1
621	chr17_25633998_25635995_+	chr17_25634770_25635018_+	17	25633998	25635995	+	17	25634770	25635018	+	1
622	chr17_25633998_25635995_+	chr17_25634770_25635233_+	17	25633998	25635995	+	17	25634770	25635233	+	1
623	chr17_25633998_25635995_+	chr17_25634770_25635873_+	17	25633998	25635995	+	17	25634770	25635873	+	1
624	chr17_27211143_27216045_-	chr17_27212875_27212965_-	17	27211143	27216045	-	17	27212875	27212965	-	-1
625	chr17_27211222_27216044_-	chr17_27212875_27212965_-	17	27211222	27216044	-	17	27212875	27212965	-	-1
626	chr17_27406779_27413464_-	chr17_27412622_27412666_-	17	27406779	27413464	-	17	27412622	27412666	-	-1
627	chr17_27407495_27413459_-	chr17_27412622_27412666_-	17	27407495	27413459	-	17	27412622	27412666	-	-1
629	chr17_27407703_27416982_-	chr17_27412622_27412666_-	17	27407703	27416982	-	17	27412622	27412666	-	-1
630	chr17_27407955_27417836_-	chr17_27412622_27412666_-	17	27407955	27417836	-	17	27412622	27412666	-	-1
631	chr17_27408203_27413597_-	chr17_27412622_27412666_-	17	27408203	27413597	-	17	27412622	27412666	-	-1
